file;sent_id;source;cue;content;polarity;sent_text;negation;certainty;negation_NLTK;group;centroid
NBC-News_20170816T081550;34;they ;want ;vaccines to be made safer ;positive;Related : De Niro Says Find the Truth But Experts Already Did Often , they moderate their messages , saying they do n't doubt all vaccines but simply want parents to be able to choose and want vaccines to be made safer .;Confirm;uncertain;Deny;9;about his vaccines 
NBC-News_20170816T081550;44;we ;know ;what causes measles ;negative;“ We tell the community that we know what causes measles , ” said Johnson .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
NBC-News_20170816T081550;45;we ;know ;what causes autism ;negative;“ Unfortunately , we do n’t know what causes autism . ”;Confirm;certain;Confirm;1;vaccines can cause autism 
NBC-News_20170816T081550;46;no one ;knows ;how to prevent autism ;positive;While it ’s easy to prevent measles — with the vaccine — no one knows how to prevent autism .;Confirm;certain;Confirm;1;vaccines can cause autism 
NBC-News_20170816T081550;51;parents ;worried ;about vaccines ;negative;Public health experts have learned that it is important not to lecture parents worried about vaccines , but to listen to their fears , and to enlist familiar and trusted faces to help communicate .;Confirm;certain;Deny;9;about his vaccines 
NBC-News_20170816T081550;65;CDC ;says ;2014 was a record year with 667 cases ;positive;CDC says 2014 was a record year with 667 cases .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
NPR-org_20161222T133200;49;We ;recommend ;everyone gets two doses of the MMR vaccine ;positive;We recommend everyone gets two doses of the MMR vaccine .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
NPR-org_20170313T074645;6;you ;believe ;you may have been exposed ;negative;"If you have symptoms , and believe you may have been exposed , please contact your health care provider , "" Dr. Ron Chapman , CDPH director and state health officer , said in a statement . """;Confirm;uncertain;Confirm;12;the latter seemed more like a common cold 
NPR-org_20170313T074645;25;Disney officials ;told ;that they had received no reports of staff contracting measles ;negative;Disney officials told The Associated Press that they had received no reports of staff contracting measles .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
NPR-org_20171001T221620;21;The [ WHO and UNICEF ] report ;says ;they used the same syringe to reconstitute the vaccine ;positive;The [ WHO and UNICEF ] report says they used the same syringe to reconstitute the vaccine [ instead of discarding it after single use ] .;Confirm;certain;Confirm;9;about his vaccines 
National-Vaccine-Information-Center-(NVIC)_20170616T025538;5;trolls ;suggesting ;that children with vaccine-related brain injuries are genetic mutants ;positive;3 Astroturfers 4 and trolls 5 6 saw that kind of talk as a green light to do more of it on public comment boards , suggesting that children with vaccine-related brain injuries are genetic mutants and calling mothers of vaccine injured children “ liars ” and “ witches . ”;Confirm;certain;Confirm;1;vaccines can cause autism 
National-Vaccine-Information-Center-(NVIC)_20170616T025538;7;Dr. Cherry ;said ;â Some people are just terribly selfish . â ;positive;Dr. Cherry said , “ There are some pretty dumb people out there , ” 9 and “ Some people are just terribly selfish . ”;Confirm;certain;Confirm;2;others for every little thing 
National-Vaccine-Information-Center-(NVIC)_20170616T025538;13;the CDC ;declared ;measles eradicated from the U.S. ;negative;17 Well , that has been true in America since 1981 with one dose of MMR vaccine 18 and since 2000 for two doses of MMR vaccine , which is one reason why the CDC declared measles eradicated from the U.S. in 2000 .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
National-Vaccine-Information-Center-(NVIC)_20170625T020431;24;Some ;suggesting ;a second dose of chickenpox vaccine may be needed ;negative;Some are suggesting a second dose of chickenpox vaccine may be needed .;Confirm;uncertain;Confirm;10;when they may get chickenpox vaccine 
National-Vaccine-Information-Center-(NVIC)_20170701T193111;23;other vaccine provider ;refuses ;to make a vaccine adverse event report to VAERS ;positive;Under federal law , doctors and all vaccine providers in the U.S. are required to : It is estimated that only between one and 10 percent of all vaccine adverse events are reported to VAERS .28 29 If a doctor or other vaccine provider refuses to make a vaccine adverse event report to VAERS , the person or family of the person , who has suffered a serious health problem after vaccination , can make the report directly to VAERS .;Confirm;uncertain;Confirm;10;when they may get chickenpox vaccine 
National-Vaccine-Information-Center-(NVIC)_20170701T193111;36;your doctor ;confirms ;that you have pertussis ;positive;The CDC states “ If your doctor confirms that you have pertussis , your body will have a natural defense ( immunity ) to future infections .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
Natural-Health-365_20170311T150826;7;Angelica Black âs family ;knows ;that brain damage resulting from routine vaccinations are very real ;positive;Angelica Black ’s family knows all too well that brain damage resulting from routine vaccinations are very real .;Confirm;certain;Confirm;1;vaccines can cause autism 
Natural-Health-365_20170311T150826;12;you ;suspect ;vaccine injury ;positive;Depending on where you are located , it may seem daunting to seek qualified support if you suspect vaccine injury .;Confirm;uncertain;Confirm;10;when they may get chickenpox vaccine 
Natural-Health-365_20170311T150826;21;The pharmaceutical industry ;knows ;there is a problem with their industry ;positive;The pharmaceutical industry knows there is a problem with their industry but instead of trying to fix it , well it just gets swept under a rug with the support of the US government .;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
NaturalNewsBlogs_20170701T111215;11;one man , Dr. William Thompson â a CDC insider â ;decided ;to tell the truth ;negative;And then , two decades and a million damaged children later , one man , Dr. William Thompson – a CDC insider – decided to tell the truth and the embers of that early hope glow once more .;Confirm;certain;Confirm;2;others for every little thing 
NaturalNewsBlogs_20170701T111215;18;she ;said ;absolutely without hesitation ;positive;When interviewed and asked if she would be vaccinating her baby , she said absolutely without hesitation .;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
NaturalNews_20170606T044813;21;the Varivax vaccine insert ;states ;it does n't protect everybody from chickenpox ;negative;But the Varivax vaccine insert openly states it does n't protect everybody from chickenpox .;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
NaturalNews_20170606T044813;24;most vaccine pushers ;tells ;The chickenpox vaccine can cause the spread of chickenpox ;negative;Here 's something the mainstream media never tells you and most vaccine pushers will NEVER admit : The chickenpox vaccine can cause the spread of chickenpox .;Confirm;uncertain;Deny;10;when they may get chickenpox vaccine 
NaturalNews_20170606T044813;25;The next block of microscopic text in the vaccine insert ;warns ;that the vaccine should never be given to pregnant women ;positive;It 's admitted right in the insert : The next block of microscopic text in the vaccine insert warns that the vaccine should never be given to pregnant women .;Deny;certain;Deny;10;when they may get chickenpox vaccine 
NaturalNews_20170606T044813;42;vaccine pushers ;hope ;you never read the insert ;negative;In fact , vaccine pushers hope you never read the insert because they want to keep you in the dark about the side effects and toxic ingredients used in vaccines .;Deny;certain;Deny;3;it was like I was a completely different baby afterwards 
NaturalNews_20170606T044813;43;they ;claim ;to prevent ;positive;They also want you to be completely unaware that many vaccines can actually spread the disease they claim to prevent .;Confirm;uncertain;Confirm;6;the quick response prevented the outbreak from getting worse 
NaturalNews_20170606T044813;52;you ;knowing ;that you 've at least conducted some due diligence ;positive;If you read it and you 're perfectly happy with all the ingredients , side effects and risks associated with that vaccine , then make whatever choice you want , knowing that you 've at least conducted some due diligence rather than just blindly injecting your child with toxic chemicals the same way all the obedient sheeple do .;Confirm;certain;Confirm;2;others for every little thing 
NaturalNews_20170628T201245;26;which ;shows ;that vaccinated people are the biggest threats ;positive;"If anything , the exact opposite is true when considering published science , which shows that vaccinated people are the biggest threats . """;Confirm;certain;Confirm;13;to get their children vaccinated 
NaturalNews_20170704T132504;10;The Kenyan government ;insists ;the vaccine is perfectly safe ;positive;The Kenyan government , of course , insists the vaccine is perfectly safe .;Confirm;certain;Confirm;9;about his vaccines 
NaturalNews_20170704T132504;19;they ;realize ;the horrifying truth ;positive;Yet even they have now come to realize the horrifying truth : vaccines are the perfect vector for governments to deviously insert covert chemical or viral agents which are never revealed to the public .;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
NaturalNews_20170704T132504;31;any mainstream media outlet in the United States ;reported ;this news ;negative;Read the full report from LifeSiteNews at : http://www.lifesitenews.com/news/a-mass-ster ... You will not see this news reported by any mainstream media outlet in the United States .;Confirm;certain;Deny;6;the quick response prevented the outbreak from getting worse 
NaturalNews_20170704T132504;44;government authorities ;claim ;the sterilization chemical was an accidental contamination ;positive;"In Kenya today , government authorities also claim the sterilization chemical was an "" accidental "" contamination .";Confirm;certain;Confirm;1;vaccines can cause autism 
NaturalNews_20170704T132504;77;that ;believes ;aggressive human depopulation is urgently necessary to save the planet ;positive;Gates is part of a covert medical cabal that believes aggressive human depopulation is urgently necessary to save the planet .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
NaturalNews_20170704T132504;96;who ;wishes ;to survive the great human culling now under way ;positive;That is precisely why anyone who wishes to survive the great human culling now under way must take extraordinary steps to isolate themselves from institutionally-produced food , water and medicine .;Confirm;certain;Confirm;2;others for every little thing 
NaturalNews_20170706T012448;3;you ;discover ;that vaccinated children are the real danger ;positive;But if you can wade through all this mindless propaganda , you 'll discover that vaccinated children are the real danger , at least when it comes to disease spread .;Confirm;uncertain;Confirm;13;to get their children vaccinated 
NaturalNews_20170707T040258;33;they ;claim ;to prevent ;negative;Far from protecting people from disease outbreaks , vaccines often promote the pandemic they claim to prevent .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
NaturalNews_20170707T040258;36;They ;ASSUME ;vaccines work because that is the dogma of modern medicine ;positive;They all just ASSUME vaccines work because that is the dogma of modern medicine .;Confirm;certain;Confirm;9;about his vaccines 
NaturalNews_20170707T040258;56;McAfee ;claiming ;your website is infected ;positive;I happen to know firsthand that McAfee uses dishonest scare tactics to sell their security software services , claiming your website is infected when it actually is n't .;Confirm;certain;Deny;11;measles eradicated from the U.S. 
NaturalNews_20170707T040258;63;an outstanding article by Dr. Gary Null ;explained ;much of this ;positive;In 2010 , an outstanding article by Dr. Gary Null explained much of this in excruciating detail .;Confirm;certain;Confirm;2;others for every little thing 
NewsComAu_20160212T080640;67;You ;BEGGING ;to get that vaccine into your precious babies ;positive;You would be crawling through the streets on your hands and knees , begging , BEGGING to get that vaccine into your precious babies because that is what I would have done , if I could , to save my daughter .;Confirm;uncertain;Confirm;10;when they may get chickenpox vaccine 
NewsComAu_20160212T080640;72;I ;think ;what would you have done if your child lay dying ;positive;And I watch these arguments trotted out on Facebook and twitter citing false science and long discredited “ studies ” that just wo n’t stop and Jenny McCarthy quotes and “ it ’s MY choice ” to not vaccinate ... and I think ... what would you have done if your child lay dying ?;Confirm;uncertain;Deny;3;it was like I was a completely different baby afterwards 
NewsComAu_20160212T080640;74;you ;knowing ;that at least they wo nât develop autism ;positive;Or would you let them go , knowing that at least they wo n’t develop autism ( which they would n’t even develop anyway because SCIENCE ) ?;Confirm;certain;Confirm;1;vaccines can cause autism 
NewsComAu_20160212T080640;75;you ;tell ;that you would nât vaccinate them then ;positive;And do n’t you DARE tell me that you would n’t vaccinate them then .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
Newstarget-com_20170301T142751;17;you ;want ;to remain healthy ;positive;If you and your family want to remain healthy , do n’t be injected with Merck ’s Gardasil .;Confirm;certain;Confirm;5;you go see it if you can 
Newstarget-com_20170301T142751;36;President Ford ;advised ;to get their flu shots ;positive;Like in the 1970s , when President Ford advised Americans to get their flu shots .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
Newstarget-com_20170301T142751;43;GlaxoSmithKline , Merck and Johnson & Johnson ;concerns ;about the marketability of a Zika vaccine ;positive;Well , it seems to have run out of steam , according to FiercePharma.com : “ GlaxoSmithKline , Merck and Johnson & Johnson … [ have ] concerns about the marketability of a Zika vaccine . ”;Confirm;uncertain;Confirm;9;about his vaccines 
PBS-NewsHour_20161202T134302;65;she ;said ;â They go home a different person , â ;positive;“ They go home a different person , ” she said .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
POLITICO_20170925T004222;11;they ;say ;they are still going forward with it ;positive;However , Kennedy said he has been contacted twice since that meeting and “ they say they are still going forward with it . ”;Confirm;certain;Confirm;2;others for every little thing 
POPSUGAR-Moms_20170223T094908;3;Trump ;blamed ;them for causing autism ;negative;The tweet , posted in 2014 , is n't the only time Trump has spoken out against vaccines or blamed them for causing autism .;Confirm;certain;Deny;1;vaccines can cause autism 
POPSUGAR-Moms_20170223T094908;7;Kennedy ;told ;he accepted the position ;negative;"Although Trump officials have not confirmed the appointment , Kennedy told the press he accepted the position . """;Confirm;certain;Deny;0;to how he was invited to an inaugural ball 
Parents_20170705T132137;33;it ;recommended ;that the preservative be removed from shots ;negative;Though it did n't mention autism specifically , it suggested that the use of vaccines with thimerosal could theoretically push an infant 's total exposure of mercury , a neurotoxin , above safe limits , and it recommended that the preservative be removed from shots .;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
Parents_20170705T132137;34;her ;belief ;that vaccines caused her son 's autism ;positive;"The vaccine-autism hypothesis was solidly in the mainstream by the time actress Jenny McCarthy went public with her belief that vaccines caused her son 's autism , describing in heartbreaking detail how "" the soul left his eyes "" on a 2007 segment of the The Oprah Show . """;Confirm;certain;Confirm;1;vaccines can cause autism 
Parents_20170705T132137;42;Experts ;believe ;that the association is almost certainly coincidental ;negative;Experts believe that the association is almost certainly coincidental .;Confirm;certain;Confirm;2;others for every little thing 
Parents_20170705T132137;61;25 percent ;believed ;that some vaccines cause autism ;positive;In fact , a national survey of parents published in Pediatrics last month ( although conducted in 2009 , before the retraction of Dr. Wakefield 's study ) , found that 54 percent of parents were concerned about the serious adverse effects of vaccines , and 25 percent believed that some vaccines cause autism .;Confirm;certain;Confirm;1;vaccines can cause autism 
Parents_20170705T132137;66;Most experts ;believe ;the amount of aluminum contained in vaccines is safe ;positive;"Most experts believe the amount of aluminum contained in vaccines is safe , but studies in human infants have n't proven that , "" says Dr. Sears . """;Confirm;certain;Deny;9;about his vaccines 
Parents_20170705T132137;75;People ;ask ;' Which shot can I skip ? ' ;positive;"People always ask me , ' Which shot can I skip ? ' """;Confirm;uncertain;Confirm;3;it was like I was a completely different baby afterwards 
Petful_20170310T005844;7;I ;recommend ;that you follow your state âs regulations on rabies vaccination ;positive;Think about vaccines in 3 categories : I recommend that you follow your state ’s regulations on rabies vaccination .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
Petful_20170310T005844;12;A friend of mine ;thought ;the sheep was doing some strange wandering ;positive;A friend of mine thought the sheep was doing some strange wandering , so she helped it with its feed and water buckets .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
Petful_20170310T005844;27;your veterinarian ;recommend ;the basic canine and feline vaccinations ;negative;What about the basic canine and feline vaccinations your veterinarian might recommend that your pet get every few years ?;Confirm;uncertain;Confirm;8;not to vaccinate their children at all 
Petful_20170310T005844;28;we ;recommend ;they be given approximately every 3 years ;positive;We used to recommend these be given annually , and now we recommend they be given approximately every 3 years .;Confirm;certain;Confirm;2;others for every little thing 
Petful_20170310T005844;31;Studies ;showed ;that one-third of puppies were not protected after a year ;negative;Studies showed that one-third of puppies were not protected after a year , so the yearly protocol was instituted .;Deny;certain;Deny;13;to get their children vaccinated 
Petful_20170310T005844;43;Some veterinarians and pet owners who take a completely homeopathic or holistic approach to medicine ;think ;vaccines lower your pet âs immune system or cause disease ;positive;Holistic or Traditional Medicine Some veterinarians and pet owners who take a completely homeopathic or holistic approach to medicine think vaccines lower your pet ’s immune system or cause disease .;Confirm;certain;Confirm;1;vaccines can cause autism 
Petful_20170310T005844;44;They ;advocate ;giving very few or no vaccines at all ;positive;They advocate giving very few or no vaccines at all .;Confirm;certain;Confirm;9;about his vaccines 
Petful_20170310T005844;62;you ;think ;as holistic but not selfish ;negative;As a responsible pet guardian , you should think of your approach to vaccination as holistic but not selfish .;Deny;certain;Deny;3;it was like I was a completely different baby afterwards 
Petful_20170310T005844;66;I ;believe ;they have often paid for unnecessary vaccines ;positive;Whenever I see a receipt from clients who went to a vaccine clinic or corporate veterinarian for their vaccines , I believe they have often paid for unnecessary vaccines .;Confirm;certain;Confirm;9;about his vaccines 
Petful_20170310T005844;67;the veterinarian ;discussed ;â core â versus other vaccines with you ;negative;If the veterinarian has not discussed “ core ” versus other vaccines with you , he or she has done you a disservice .;Confirm;certain;Deny;9;about his vaccines 
Petful_20170310T005844;81;Fifi ;thinks ;Dodo is an idiot ;negative;Fifi thinks Dodo is an idiot and never gives him the time of day .;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
Petful_20170310T005844;90;Some clients ;outraged ;that I even offer the â less safe â vaccine ;negative;Some clients seem outraged that I even offer the “ less safe ” vaccine , and it ’s a no-brainer for them .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
PolitiFact_20170926T234644;4;I ;want ;smaller doses over a longer period of time ;negative;"But I want smaller doses over a longer period of time . """;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
PolitiFact_20170926T234644;11;Price ;acknowledged ;that state governments tend to make those decisions ;positive;"In response to a question about implementing federal immunization requirements during his tenure , Price acknowledged in March that state governments tend to make those decisions , but evaded a question about whether vaccines should be required . """;Confirm;certain;Confirm;2;others for every little thing 
PolitiFact_20170926T234644;12;I ;believe ;it 's a perfectly appropriate role for the government ;positive;"I believe it 's a perfectly appropriate role for the government -- this happens , by and large , at the state government level , because they 're the ones that have the public health responsibility -- to determine whether or not immunizations are required for a community population , "" Price said during a CNN town hall event .";Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
PublicHealth-org_20170623T200727;10;Many parents ;distrust ;these vaccines ;positive;Many parents distrust these vaccines ;;;;;
PublicHealth-org_20170623T200727;11;Research ;shows ;that most of our biggest fears about vaccinations are unfounded ;positive;Research , however , shows that most of our biggest fears about vaccinations are unfounded .;Confirm;certain;Confirm;9;about his vaccines 
PublicHealth-org_20170623T200727;25;scientists ;believe ;this capacity is purely theoretical ;positive;And scientists believe this capacity is purely theoretical .;Confirm;certain;Confirm;12;the latter seemed more like a common cold 
Respectful-Insolence_20170620T075501;34;Quackenboss â ;answers ;yes , yes , and yes ;negative;Not surprisingly , Quackenboss ’ answers to all three questions are yes , yes , and yes .;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
Respectful-Insolence_20170620T075501;36;she ;thinks ;she does ;positive;She discusses voltage-gated sodium channels in a manner that amused me , because it ’s so clear that he ’s just showing off to his fellow antivaxers that she knows science , ma-an — or at least thinks she does .;Confirm;certain;Confirm;0;to how he was invited to an inaugural ball 
Respectful-Insolence_20170620T075501;39;I ;know ;a lot about certain sodium channels ;positive;I also know a lot about certain sodium channels . );Confirm;certain;Confirm;2;others for every little thing 
Respectful-Insolence_20170620T075501;52;the CDC ;recommended ;the Tdap vaccine for pregnant women ;negative;If Tdap is causing microcephaly , one wonders why , then , there have n’t been outbreaks of microcephaly in the US , where the CDC has recommended the Tdap vaccine for pregnant women since 2011 .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
Respectful-Insolence_20170620T075501;57;I ;pointed out ;Tdap is safe for pregnant women ;positive;As I pointed out last time , Tdap is safe for pregnant women .;Confirm;certain;Confirm;13;to get their children vaccinated 
Respectful-Insolence_20170620T075501;59;I ;expect ;this sort of pseudoscientific nonsense from a twit like Quackenboss ;positive;Of course , I expect this sort of pseudoscientific nonsense from a twit like Quackenboss .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
Respectful-Insolence_20170620T075501;60;I ;expect ;it from a physician ;negative;I do not expect it from a physician .;Confirm;certain;Deny;1;vaccines can cause autism 
Respectful-Insolence_20170620T075501;66;It ;supported ;HIV/AIDS denialism ;negative;It has also published brain-meltingly bad papers claiming to find that abortion causes breast cancer , has promoted the vile idea that shaken baby syndrome is a misdiagnosis for “ vaccine injury , ” supported HIV/AIDS denialism , and — of course !;Confirm;certain;Confirm;1;vaccines can cause autism 
Respectful-Insolence_20170620T075501;76;she ;blames ;the MMR vaccine ;negative;Instead of just blaming Tdap , she blames the MMR vaccine as well through a tenuous link with congenital rubella syndrome .;Confirm;certain;Confirm;9;about his vaccines 
Respectful-Insolence_20170620T075501;97;who ;deny ;the science demonstrating the harmful health effects of tobacco ;positive;However , over the last decade or so , the story of Rachel Carson has been subjected to historical revisionism by the very same people who tried to deny the science demonstrating the harmful health effects of tobacco and who more recently have spearheaded anthropogenic climate change denialism .;Confirm;certain;Confirm;1;vaccines can cause autism 
Respectful-Insolence_20170620T075501;99;that ;promoted ;the new cause of environmentalism ;positive;Indeed , in a speech railing against climate science , dismissing secondhand tobacco smoke as harmless , and characterizing environmentalism as a “ religion , ” the arch crank himself , Michael Crichton , characterized the DDT ban as having “ caused the deaths of tens of millions of poor people , mostly children , whose deaths are directly attributable to a callous , technologically advanced western society that promoted the new cause of environmentalism by pushing a fantasy about a pesticide , and thus irrevocably harmed the third world . ”;Confirm;certain;Confirm;1;vaccines can cause autism 
Respectful-Insolence_20170620T075501;100;one of his characters ;say ;ââ Banning DDT killed more people than Hitler . â ;positive;In his novel State of Fear , Crichton even had one of his characters say , ““ Banning DDT killed more people than Hitler . ”;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
Respectful-Insolence_20170620T075501;103;Chris Mooney ;described ;â pure porn for global warming deniers . â ;negative;No wonder Chris Mooney described the novel as “ pure porn for global warming deniers . ”;Confirm;certain;Confirm;12;the latter seemed more like a common cold 
Respectful-Insolence_20170620T075501;108;I ;guessed ;as being susceptible to such messages ;negative;Sadly , it ’s a myth that skeptics who should know better not infrequently fall for , sometimes people I never would have guessed as being susceptible to such messages .;Confirm;certain;Deny;7;that there is no increased risk for these concerns 
Respectful-Insolence_20170620T075501;113;Both of them ;agree ;that it âs all the fault of big pharma ;positive;Both of them , of course , agree that it ’s all the fault of big pharma , which eager to sell a new vaccine against Zika virus , also pushes ever more and more vaccines in order to maximize profits .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
Respectful-Insolence_20170620T075501;127;I ;sure ;about this ;negative;Like I said I ’m not sure about this , need to research more .;Confirm;certain;Deny;0;to how he was invited to an inaugural ball 
Respectful-Insolence_20170620T075501;157;I ;think ;you â dig â enough ;negative;I ’m not in either gang , let ’s say I would only like to know facts and I do n’t think you “ dig ” enough .;Confirm;certain;Deny;5;you go see it if you can 
Respectful-Insolence_20170620T075501;165;this physician ;warns ;against adjuvants put in vaccines ;positive;That apart , I have an autoimmune disease and autoimmune diseases are on the rise ( fact ) and I read recently a scientific paper from an expert ( Dr. Y Schoenfeld – one paper between plenty : http://www.ncbi.nlm.nih.gov/pubmed/20708902 ) and this physician really warns against adjuvants put in vaccines .;Confirm;certain;Confirm;9;about his vaccines 
Respectful-Insolence_20170620T075501;172;I ;think ;that the safety of adjuvants should be questioned ;positive;But what is established and I think ( not the only here ) that the safety of adjuvants should be questioned .;Confirm;uncertain;Deny;9;about his vaccines 
Respectful-Insolence_20170806T205046;3;I ;noted ;antivaxers were nât going to like it ;positive;As I noted when his name first came up as a candidate for this position , antivaxers were n’t going to like it .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
Respectful-Insolence_20170806T205046;8;I ;know ;whom Trump had chosen for CDC Director ;positive;At the time I gave my talk on Friday morning , I did n’t yet know whom Trump had chosen for CDC Director .;Confirm;certain;Confirm;13;to get their children vaccinated 
Respectful-Insolence_20170806T205046;15;RFK Jr. ;claimed ;that that Trump had offered him ;negative;Yet here we are , six months later , and nothing ’s become of the “ vaccine commission ” that RFK Jr. claimed that Trump had offered him , while the FDA Commissioner is the ultimate pro-vaccine pharma shill .;Confirm;certain;Deny;4;the questions citizens of the world should be asking 
Respectful-Insolence_20170806T205046;18;she ;urging ;vaccinate their children ;negative;Indeed , as recently as April , she was touting not only her state ’s improved vaccination rate , but urging parents to vaccinate their children : She ’s even written opinion pieces with titles like Babies Need Their Vaccines in 2014 ( before the Disneyland measles outbreak ) , in which she rejects antivaccine pseudoscience explicitly : And then makes an emotional appeal : These are not the sort of things that someone who is antivaccine or antivaccine-sympathetic write .;Confirm;certain;Deny;8;not to vaccinate their children at all 
Respectful-Insolence_20170806T205046;21;that ;urges ;pregnant women to get their Tdap vaccine ;positive;Nor would an antivaccine or antivaccine-sympathetic person allow a blog that promotes vaccination , including entries promoting the birth dose of the hepatitis B vaccine , tells parents how to catch their children up on their shots if they fall behind , and urges pregnant women to get their Tdap vaccine .;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
Respectful-Insolence_20170806T205046;24;antivaxers ;claim ;â dogma , â ;negative;The reason is simple , and it has nothing to do with “ dogma , ” as antivaxers will claim .;Confirm;certain;Deny;9;about his vaccines 
Respectful-Insolence_20170806T205046;31;public health officials ;belief ;in vaccines ;negative;The “ ideological conformity ” in public health officials ’ belief in vaccines comes not from brainwashing , but from decades — no , hundreds of years — of evidence .;Confirm;certain;Deny;9;about his vaccines 
Respectful-Insolence_20170806T205046;32;he ;said ;what his sermons ;positive;Interestingly , Dr. Fitzgerald shows characteristics unusual for a Republican politician : I note that this action resulted in a lawsuit by Dr. Erick Walsh , the pastor fired after what he said in his sermons became known .;Confirm;certain;Confirm;2;others for every little thing 
Respectful-Insolence_20170806T205046;50;I ;happy ;with the appointment of Dr. Fitzgerald ;positive;So , am I happy with the appointment of Dr. Fitzgerald ?;Confirm;uncertain;Confirm;1;vaccines can cause autism 
Respectful-Insolence_20170806T205046;55;Dr. Paul Offit ;wrote ;Trump âs budget takes aim at critical public health funding ;negative;As Dr. Paul Offit wrote a couple of weeks ago , Trump ’s budget takes aim at critical public health funding .;Confirm;certain;Confirm;4;the questions citizens of the world should be asking 
Respectful-Insolence_20170806T205046;59;who ;cry ;â Betrayal ! â ;positive;Still , for a brief moment , I ca n’t resist feeling a bit of schadenfreude as I hear the wails of antivaxers who cry , “ Betrayal ! ”;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
SELF_20170611T091338;1;the state ;reported ;â more cases likely . â ;positive;Minnesota health officials are ramping up vaccination recommendations for children after the state reported 48 recent confirmed cases of measles in three counties , with “ more cases likely . ”;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
SELF_20170611T091338;4;blame ;say ;anti-vaccine sentiments ;negative;"And experts say anti-vaccine sentiments are to blame . """;Confirm;certain;Confirm;12;the latter seemed more like a common cold 
SELF_20170611T091338;8;the wealth of research on the subject ;according to ;Autism and vaccines are not linked ;negative;"Autism and vaccines are not linked , according to the wealth of research on the subject , but there was understandably still concern about what could be contributing to Somali-American children 's autism . """;Deny;certain;Deny;1;vaccines can cause autism 
SELF_20170611T091338;12;the anti-vaccination community ;insist ;that there 's a link between vaccines and autism ;negative;Despite absolutely no scientific evidence , the anti-vaccination community continues to insist that there 's a link between vaccines and autism .;Confirm;certain;Deny;1;vaccines can cause autism 
SELF_20170611T091338;16;The Food and Drug Administration ( FDA ) ;stating ;that the preservative poses no harm to humans ;positive;The Food and Drug Administration ( FDA ) has extensive information on thimerosal and vaccines on its Web site , repeatedly stating that the preservative poses no harm to humans — and offering scientific research to back up those statements .;Confirm;certain;Confirm;1;vaccines can cause autism 
SELF_20170611T091338;19;we ;say ;that vaccination is not responsible for it ;negative;“ People look for culprits for kids ’ autism , but we can say that vaccination is not responsible for it , ” he says .;Deny;uncertain;Deny;8;not to vaccinate their children at all 
SELF_20170611T091338;21;experts ;say ;that âs worrying ;negative;But unfounded vaccination fears are causing some parents to space out vaccines or avoid the vaccine altogether — and experts say that ’s worrying .;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
SELF_20170611T091338;29;Amesh A. Adalja , M.D. , a board-certified infectious disease physician and affiliated scholar at the Johns Hopkins Center for Health Security , ;tells ;Measles is also easily spread among people who are unvaccinated ;positive;Measles is also easily spread among people who are unvaccinated , Amesh A. Adalja , M.D. , a board-certified infectious disease physician and affiliated scholar at the Johns Hopkins Center for Health Security , tells SELF .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
SELF_20170611T091338;36;the Minnesota Department of Health ;according to ;which has vaccination rates of only about 42 percent ;negative;However , Adalja points out that there are pockets in the U.S. where vaccination rates have fallen to “ dangerously low levels , ” including the Somali-American population in Minnesota , which has vaccination rates of only about 42 percent , according to the Minnesota Department of Health .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
